"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-07-26 17:12:19 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)"
2016,Afghanistan,Iraq,*,0
2016,Angola,Iraq,0,*
2016,Anguilla,"Syrian Arab Rep.",*,0
2016,Albania,Iraq,23,0
2016,Albania,"Syrian Arab Rep.",*,0
2016,"United Arab Emirates",Iraq,741,354
2016,"United Arab Emirates","Syrian Arab Rep.",119,165
2016,Argentina,Iraq,22,6
2016,Argentina,"Syrian Arab Rep.",357,53
2016,Armenia,Iraq,1017,23
2016,Armenia,"Syrian Arab Rep.",14626,20
2016,"Antigua and Barbuda","Syrian Arab Rep.",*,0
2016,Australia,Iraq,3437,1783
2016,Australia,"Syrian Arab Rep.",378,136
2016,Austria,Iraq,5555,10211
2016,Austria,"Syrian Arab Rep.",30958,9812
2016,Azerbaijan,Iraq,13,10
2016,Azerbaijan,"Syrian Arab Rep.",15,8
2016,Belgium,Iraq,4000,2906
2016,Belgium,"Syrian Arab Rep.",9080,1798
2016,Benin,Iraq,*,0
2016,Benin,"Syrian Arab Rep.",0,*
2016,Bangladesh,Iraq,*,0
2016,Bulgaria,Iraq,1385,4092
2016,Bulgaria,"Syrian Arab Rep.",15027,1961
2016,Bahrain,Iraq,251,95
2016,"Bosnia and Herzegovina",Iraq,*,6
2016,"Bosnia and Herzegovina","Syrian Arab Rep.",15,12
2016,Belarus,Iraq,13,*
2016,Belarus,"Syrian Arab Rep.",77,9
2016,"Bolivia (Plurinational State of)",Iraq,16,0
2016,"Bolivia (Plurinational State of)","Syrian Arab Rep.",13,0
2016,Brazil,Iraq,279,143
2016,Brazil,"Syrian Arab Rep.",2591,1209
2016,Canada,Iraq,2421,678
2016,Canada,"Syrian Arab Rep.",2757,380
2016,Switzerland,Iraq,3494,2079
2016,Switzerland,"Syrian Arab Rep.",11159,3858
2016,Chile,Iraq,*,*
2016,Chile,"Syrian Arab Rep.",18,15
2016,China,Iraq,5,26
2016,China,"Syrian Arab Rep.",20,35
2016,"Côte d'Ivoire","Syrian Arab Rep.",*,14
2016,Cameroon,"Syrian Arab Rep.",23,*
2016,"Dem. Rep. of the Congo","Syrian Arab Rep.",11,22
2016,Congo,"Syrian Arab Rep.",*,5
